IP Address,Port,Protocol,Vulnerability
192.168.1.1,22,TCP,1
192.168.1.1,80,TCP,0
192.168.1.1,443,TCP,1
192.168.1.2,22,TCP,0
192.168.1.2,80,TCP,1
192.168.0.1,22,TCP,1
192.168.0.1,80,TCP,0
192.168.0.1,443,TCP,1
192.168.0.2,22,TCP,0
192.168.0.2,80,TCP,1
192.168.2.1,22,TCP,1
192.168.2.1,80,TCP,0
192.168.2.1,443,TCP,1
192.168.2.2,22,TCP,0
192.168.2.2,80,TCP,1
192.168.10.1,22,TCP,1
192.168.10.1,80,TCP,0
192.168.10.1,443,TCP,1
192.168.10.2,22,TCP,0
192.168.10.2,80,TCP,1
192.168.20.1,22,TCP,1
192.168.20.1,80,TCP,0
192.168.20.1,443,TCP,1
192.168.20.2,22,TCP,0
192.168.20.2,80,TCP,1
10.0.0.1,22,TCP,1
10.0.0.1,80,TCP,0
10.0.0.1,443,TCP,1
10.0.0.2,22,TCP,0
10.0.0.2,80,TCP,1
10.1.1.1,22,TCP,1
10.1.1.1,80,TCP,0
10.1.1.1,443,TCP,1
10.1.1.2,22,TCP,0
10.1.1.2,80,TCP,1
10.10.10.1,22,TCP,1
10.10.10.1,80,TCP,0
10.10.10.1,443,TCP,1
10.10.10.2,22,TCP,0
10.10.10.2,80,TCP,1
172.16.0.1,22,TCP,1
172.16.0.1,80,TCP,0
172.16.0.1,443,TCP,1
172.16.0.2,22,TCP,0
172.16.0.2,80,TCP,1
172.16.1.1,22,TCP,1
172.16.1.1,80,TCP,0
172.16.1.1,443,TCP,1
172.16.1.2,22,TCP,0
172.16.1.2,80,TCP,1
172.16.2.1,22,TCP,1
172.16.2.1,80,TCP,0
172.16.2.1,443,TCP,1
172.16.2.2,22,TCP,0
172.16.2.2,80,TCP,1
192.168.254.1,22,TCP,1
192.168.254.1,80,TCP,0
192.168.254.1,443,TCP,1
192.168.254.2,22,TCP,0
192.168.254.2,80,TCP,1
192.168.100.1,22,TCP,1
192.168.100.1,80,TCP,0
192.168.100.1,443,TCP,1
192.168.100.2,22,TCP,0
192.168.100.2,80,TCP,1
10.0.1.1,22,TCP,1
10.0.1.1,80,TCP,0
10.0.1.1,443,TCP,1
10.0.1.2,22,TCP,0
10.0.1.2,80,TCP,1
10.2.2.1,22,TCP,1
10.2.2.1,80,TCP,0
10.2.2.1,443,TCP,1
10.2.2.2,22,TCP,0
10.2.2.2,80,TCP,1
192.168.88.1,22,TCP,1
192.168.88.1,80,TCP,0
192.168.88.1,443,TCP,1
192.168.88.2,22,TCP,0
192.168.88.2,80,TCP,1
192.168.254.2,22,TCP,0
192.168.254.2,80,TCP,1
192.168.254.5,22,TCP,1
192.168.254.5,80,TCP,0  
192.168.254.5,443,TCP,1
192.168.254.23,22,TCP,0
192.168.254.23,80,TCP,1
192.168.254.23,22,TCP,1
192.168.254.7,80,TCP,0
192.168.254.7,443,TCP,1
192.168.254.7,22,TCP,0
192.168.254.7,80,TCP,1
8.8.8.8,53,UDP,1
8.8.4.4,53,UDP,0
1.1.1.1,53,UDP,1
1.0.0.1,53,UDP,0
208.67.222.222,53,UDP,1
208.67.220.220,53,UDP,0
114.114.114.114,53,UDP,1
8.26.56.26,53,UDP,0
8.20.247.20,53,UDP,1
203.0.113.1,80,TCP,1
198.51.100.2,443,TCP,0
23.66.166.151,80,TCP,1
93.184.216.34,443,TCP,0
151.101.1.69,80,TCP,1
172.217.6.206,443,TCP,1
104.244.42.129,443,TCP,0
142.250.72.78,80,TCP,1
185.199.108.153,443,TCP,0
172.67.73.44,443,TCP,1
216.58.214.174,443,TCP,1
185.60.216.35,443,TCP,0
172.217.12.238,80,TCP,1
172.217.164.132,443,TCP,0
216.239.32.21,80,TCP,1
17.253.144.10,443,TCP,0
34.117.59.81,443,TCP,1
52.86.133.10,443,TCP,0
52.85.173.172,80,TCP,1
3.5.140.0,443,TCP,1
3.208.114.0,80,TCP,0
52.119.225.0,443,TCP,1
216.58.206.68,443,TCP,1
